id,vaccination_status,management_role,sex,college_degree,age_group,country,occupational_sector,feels_protected
44,vaccinated,1,female,1,35_to_45,ireland,public_service,1
45,vaccinated,1,female,1,35_to_45,ireland,public_service,1
46,vaccinated,1,female,1,35_to_45,ireland,public_service,1
47,vaccine_refusal,1,female,1,45_to_55,ireland,public_service,1
48,vaccinated,0,male,1,under_35,ireland,health_care,1
49,vaccinated,0,female,1,over_55,ireland,professional,0
50,vaccinated,0,female,1,over_55,ireland,professional,0
51,vaccinated,0,female,1,over_55,ireland,education,0
52,vaccinated,0,female,1,over_55,ireland,education,0
53,vaccinated,1,female,1,45_to_55,ireland,professional,1
54,no_vaccine_access,0,male,1,under_35,ireland,health_care,1
55,vaccinated,0,female,1,45_to_55,canada,health_care,1
56,vaccine_refusal,0,male,0,45_to_55,canada,other,1
57,vaccinated,0,female,1,under_35,canada,health_care,1
58,vaccinated,0,female,1,under_35,canada,health_care,1
59,vaccinated,0,female,1,under_35,canada,health_care,0
60,vaccinated,0,female,1,under_35,canada,health_care,0
61,vaccinated,0,female,1,over_55,canada,health_care,1
62,vaccinated,0,female,1,over_55,canada,health_care,1
63,vaccinated,0,female,1,35_to_45,canada,health_care,1
64,vaccinated,0,male,1,35_to_45,canada,health_care,1
65,no_vaccine_access,0,female,0,35_to_45,canada,other,0
66,vaccinated,1,female,1,35_to_45,canada,other,1
67,vaccinated,0,male,1,under_35,canada,other,0
68,vaccinated,0,male,0,over_55,canada,other,1
69,no_vaccine_access,0,male,1,under_35,canada,other,1
70,vaccinated,1,female,1,45_to_55,canada,admin,0
71,vaccinated,0,female,1,45_to_55,canada,other,1
72,vaccinated,0,female,1,45_to_55,canada,health_care,0
73,vaccinated,0,female,1,35_to_45,canada,other,0
74,vaccinated,0,female,1,under_35,canada,other,0
75,vaccinated,1,female,0,over_55,canada,other,1
76,vaccinated,0,female,0,35_to_45,canada,public_service,0
77,vaccinated,0,female,1,over_55,canada,health_care,1
78,vaccinated,0,female,1,45_to_55,canada,admin,1
79,vaccinated,0,male,1,45_to_55,canada,public_service,0
80,vaccinated,0,male,0,over_55,canada,other,0
81,vaccinated,0,female,1,45_to_55,canada,other,1
82,vaccinated,0,female,1,under_35,canada,health_care,1
83,vaccine_refusal,1,male,1,45_to_55,ireland,construction,1
84,vaccinated,0,female,1,35_to_45,canada,health_care,0
85,vaccine_refusal,1,female,1,under_35,united_kingdom,education,0
86,vaccinated,1,female,1,45_to_55,united_kingdom,education,1
87,vaccinated,1,female,1,over_55,united_kingdom,education,1
88,vaccine_refusal,1,male,0,45_to_55,argentina,other,1
89,no_vaccine_access,1,female,1,over_55,argentina,education,1
90,vaccinated,1,female,0,over_55,argentina,health_care,1
91,vaccinated,1,female,0,over_55,argentina,health_care,1
92,no_vaccine_access,1,male,1,45_to_55,nigeria,construction,0
93,vaccinated,0,female,1,over_55,canada,admin,1
94,vaccine_refusal,1,male,0,45_to_55,canada,other,1
95,vaccinated,0,male,1,45_to_55,canada,health_care,1
96,vaccinated,0,male,0,35_to_45,canada,other,1
97,vaccinated,0,female,1,under_35,canada,education,0
98,vaccinated,0,female,1,35_to_45,canada,health_care,1
99,vaccine_refusal,0,female,0,over_55,canada,health_care,1
100,vaccinated,0,female,1,35_to_45,canada,education,0
101,no_vaccine_access,0,female,0,45_to_55,canada,health_care,0
102,vaccinated,1,male,1,over_55,ireland,manufacturing,1
103,vaccinated,1,male,1,under_35,ireland,manufacturing,1
104,vaccinated,0,female,1,over_55,canada,health_care,0
105,vaccinated,0,male,1,35_to_45,canada,health_care,1
106,vaccinated,0,female,1,45_to_55,canada,health_care,1
107,no_vaccine_access,0,female,1,35_to_45,canada,other,1
108,vaccinated,1,male,1,over_55,canada,health_care,1
109,vaccinated,0,male,0,over_55,canada,construction,1
110,vaccinated,0,female,1,under_35,canada,health_care,0
111,no_vaccine_access,1,female,0,under_35,canada,other,1
112,vaccinated,0,female,1,under_35,canada,education,0
113,vaccinated,0,female,1,35_to_45,canada,education,0
114,vaccinated,0,female,1,under_35,canada,education,1
115,vaccinated,0,female,0,over_55,canada,health_care,1
116,vaccinated,0,female,0,over_55,canada,retail,0
117,vaccinated,0,male,1,over_55,canada,professional,1
118,vaccinated,0,female,1,45_to_55,canada,health_care,0
119,vaccinated,1,female,0,45_to_55,canada,professional,1
120,vaccinated,0,female,1,35_to_45,canada,health_care,0
121,vaccinated,0,female,0,over_55,canada,health_care,1
122,vaccinated,1,female,1,35_to_45,canada,health_care,1
123,vaccinated,0,female,1,over_55,canada,professional,1
124,vaccinated,0,female,1,over_55,canada,other,0
125,vaccinated,1,female,1,45_to_55,united_kingdom,education,1
126,vaccinated,1,female,1,45_to_55,ireland,education,0
127,vaccine_refusal,1,male,1,over_55,ireland,public_service,1
128,vaccinated,0,female,1,under_35,ireland,health_care,0
129,vaccinated,0,female,0,over_55,argentina,professional,1
130,vaccine_refusal,0,male,0,45_to_55,argentina,transport,1
131,vaccine_refusal,1,female,1,45_to_55,china,education,1
132,vaccinated,0,female,1,45_to_55,china,public_service,1
133,vaccinated,0,female,1,35_to_45,canada,health_care,1
134,no_vaccine_access,0,female,0,under_35,canada,health_care,1
135,vaccinated,0,female,0,35_to_45,canada,public_service,0
136,vaccinated,0,female,1,35_to_45,canada,transport,0
137,vaccinated,0,female,1,45_to_55,canada,health_care,0
138,vaccine_refusal,0,female,1,over_55,canada,health_care,0
139,vaccinated,1,female,0,under_35,canada,retail,1
140,vaccinated,0,male,0,35_to_45,canada,other,1
141,vaccinated,0,female,0,under_35,canada,health_care,0
142,vaccinated,0,female,1,under_35,canada,health_care,0
143,vaccinated,0,female,1,over_55,canada,other,1
144,vaccinated,0,female,1,over_55,canada,other,0
145,vaccinated,0,female,1,over_55,canada,admin,0
146,vaccinated,0,female,1,35_to_45,canada,other,1
147,vaccinated,0,female,0,45_to_55,canada,other,1
148,vaccinated,0,female,0,over_55,canada,health_care,1
149,vaccinated,0,female,1,over_55,canada,admin,1
150,vaccinated,0,female,0,over_55,canada,health_care,1
151,vaccinated,0,female,1,over_55,canada,health_care,1
152,vaccinated,0,female,1,45_to_55,ireland,health_care,0
153,vaccinated,0,female,1,45_to_55,united_kingdom,education,0
154,vaccinated,0,female,1,45_to_55,ireland,other,1
155,vaccinated,1,female,1,45_to_55,ireland,manufacturing,1
156,vaccinated,1,male,1,35_to_45,ireland,health_care,1
157,no_vaccine_access,0,female,1,35_to_45,argentina,education,0
158,vaccine_refusal,0,male,0,45_to_55,argentina,construction,0
159,vaccinated,0,female,0,45_to_55,argentina,other,1
160,vaccinated,0,male,0,45_to_55,argentina,health_care,1
161,vaccinated,1,female,0,45_to_55,argentina,health_care,1
162,vaccine_refusal,1,female,0,over_55,argentina,public_service,1
163,vaccinated,0,female,1,over_55,ireland,health_care,1
164,vaccinated,1,male,0,over_55,poland,health_care,1
165,vaccine_refusal,0,female,1,over_55,argentina,other,0
166,vaccinated,0,female,0,over_55,argentina,professional,1
167,no_vaccine_access,0,female,0,45_to_55,argentina,other,0
168,vaccinated,1,male,1,over_55,argentina,professional,1
169,vaccinated,1,female,0,over_55,argentina,health_care,1
170,vaccinated,1,male,0,over_55,canada,education,1
171,vaccine_refusal,0,female,1,under_35,united_kingdom,professional,1
172,vaccine_refusal,0,male,1,45_to_55,nigeria,other,1
173,vaccinated,1,male,1,45_to_55,nigeria,other,1
174,no_vaccine_access,1,male,1,under_35,nigeria,manufacturing,1
175,no_vaccine_access,0,male,1,45_to_55,nigeria,other,1
176,vaccine_refusal,1,male,0,45_to_55,nigeria,admin,1
177,no_vaccine_access,1,male,1,45_to_55,nigeria,other,1
178,no_vaccine_access,1,male,1,45_to_55,nigeria,transport,1
179,no_vaccine_access,1,female,1,45_to_55,nigeria,other,1
180,vaccinated,0,female,0,under_35,canada,other,0
181,vaccinated,0,female,0,under_35,canada,other,0
182,vaccinated,0,female,0,over_55,canada,other,1
183,vaccinated,0,female,0,45_to_55,canada,other,1
184,vaccinated,1,female,1,35_to_45,united_kingdom,education,0
185,vaccinated,0,female,1,35_to_45,united_kingdom,education,0
186,vaccinated,1,female,0,over_55,argentina,health_care,1
187,vaccinated,1,male,0,35_to_45,argentina,professional,1
188,vaccinated,1,female,1,45_to_55,canada,education,0
189,vaccinated,0,female,0,over_55,canada,admin,0
190,vaccinated,0,female,1,over_55,canada,health_care,0
191,vaccinated,0,female,0,over_55,canada,public_service,0
192,no_vaccine_access,0,male,1,under_35,canada,health_care,0
193,vaccinated,0,male,1,under_35,canada,other,0
194,no_vaccine_access,0,male,0,45_to_55,canada,transport,0
195,vaccinated,0,female,0,over_55,canada,health_care,0
196,vaccinated,0,female,1,under_35,canada,admin,1
197,vaccine_refusal,0,female,0,45_to_55,canada,other,1
198,vaccinated,0,male,1,35_to_45,canada,education,1
199,vaccinated,0,female,1,35_to_45,canada,public_service,1
200,vaccinated,0,female,1,35_to_45,canada,health_care,1
201,vaccinated,0,female,0,35_to_45,canada,health_care,1
202,no_vaccine_access,1,female,0,45_to_55,canada,retail,0
203,vaccinated,0,female,0,under_35,canada,health_care,1
204,no_vaccine_access,0,female,0,35_to_45,canada,other,0
205,vaccinated,0,female,1,45_to_55,canada,health_care,1
206,vaccinated,0,female,1,35_to_45,canada,public_service,0
207,vaccinated,0,male,1,35_to_45,canada,other,0
208,vaccinated,0,female,1,45_to_55,canada,health_care,1
209,vaccinated,0,female,1,45_to_55,canada,other,0
210,no_vaccine_access,0,female,1,over_55,canada,other,0
211,no_vaccine_access,0,female,0,over_55,canada,admin,1
212,vaccinated,0,male,0,over_55,canada,retail,0
213,vaccinated,1,male,0,over_55,canada,health_care,1
214,vaccinated,0,female,1,45_to_55,canada,health_care,1
215,vaccinated,0,female,0,over_55,canada,health_care,1
216,no_vaccine_access,0,female,0,45_to_55,canada,health_care,0
217,vaccinated,0,female,0,over_55,canada,health_care,1
218,vaccinated,0,female,1,45_to_55,canada,health_care,0
219,vaccinated,0,female,1,over_55,canada,health_care,1
220,vaccinated,0,male,0,over_55,canada,health_care,1
221,vaccine_refusal,0,female,1,45_to_55,canada,health_care,1
222,vaccinated,0,female,1,over_55,canada,health_care,0
223,no_vaccine_access,1,female,1,35_to_45,canada,retail,0
224,no_vaccine_access,0,male,1,35_to_45,canada,health_care,0
225,vaccinated,0,female,1,45_to_55,canada,health_care,1
226,vaccinated,1,female,1,35_to_45,canada,health_care,1
227,vaccinated,0,female,1,under_35,united_kingdom,other,1
228,vaccinated,0,male,0,over_55,canada,education,0
229,vaccinated,0,female,1,under_35,ireland,health_care,0
230,vaccinated,0,female,1,under_35,ireland,health_care,1
231,vaccinated,1,female,1,45_to_55,ireland,professional,1
232,vaccinated,1,male,1,45_to_55,ireland,health_care,1
233,vaccine_refusal,0,male,0,35_to_45,ireland,manufacturing,0
234,vaccinated,0,female,1,35_to_45,ireland,health_care,0
235,vaccinated,0,female,1,35_to_45,ireland,health_care,0
236,no_vaccine_access,0,female,0,under_35,ireland,other,1
237,vaccinated,0,male,1,45_to_55,ireland,health_care,1
238,vaccinated,0,female,0,35_to_45,ireland,health_care,0
239,vaccinated,0,male,1,35_to_45,ireland,health_care,1
240,vaccinated,1,female,1,under_35,poland,construction,0
241,vaccinated,1,female,1,under_35,poland,construction,0
242,vaccinated,0,female,1,under_35,poland,admin,0
243,vaccinated,0,female,1,under_35,poland,admin,0
244,vaccinated,0,female,1,35_to_45,united_kingdom,education,0
245,vaccinated,0,female,1,under_35,ireland,health_care,0
246,vaccinated,0,male,1,35_to_45,ireland,health_care,1
247,vaccinated,0,female,1,under_35,ireland,professional,1
248,vaccinated,0,female,1,35_to_45,ireland,health_care,1
249,vaccinated,1,female,1,over_55,ireland,health_care,1
250,vaccinated,0,male,0,over_55,canada,health_care,1
251,vaccinated,0,female,1,35_to_45,canada,health_care,0
252,vaccinated,0,female,1,under_35,canada,health_care,1
253,vaccinated,0,male,1,35_to_45,canada,health_care,1
254,vaccinated,1,male,1,45_to_55,canada,other,0
255,vaccinated,0,female,0,over_55,canada,education,1
256,vaccine_refusal,0,female,1,under_35,canada,other,1
257,vaccinated,0,female,1,under_35,china,education,1
258,no_vaccine_access,1,female,0,35_to_45,china,education,0
259,vaccinated,0,female,1,under_35,china,other,0
260,vaccinated,0,female,1,45_to_55,canada,health_care,0
261,vaccinated,0,female,1,45_to_55,canada,other,0
262,vaccinated,0,female,1,45_to_55,canada,other,1
263,vaccinated,0,male,0,45_to_55,canada,health_care,1
264,vaccinated,1,female,0,45_to_55,canada,retail,0
265,no_vaccine_access,0,female,0,45_to_55,canada,admin,0
266,vaccinated,0,female,1,35_to_45,canada,transport,0
267,no_vaccine_access,0,male,1,under_35,nigeria,public_service,0
268,vaccinated,1,female,1,under_35,canada,health_care,0
269,no_vaccine_access,0,female,1,45_to_55,canada,health_care,1
270,vaccinated,0,female,0,45_to_55,canada,health_care,0
271,vaccinated,1,female,1,45_to_55,canada,health_care,1
272,vaccine_refusal,0,female,1,35_to_45,canada,health_care,0
273,vaccinated,0,female,1,35_to_45,canada,health_care,1
274,vaccinated,0,female,0,under_35,canada,other,1
275,no_vaccine_access,0,female,0,under_35,canada,other,1
276,vaccinated,0,female,1,over_55,canada,health_care,0
277,vaccinated,1,female,1,35_to_45,canada,education,1
278,vaccine_refusal,0,female,0,35_to_45,canada,other,1
279,vaccinated,0,female,1,over_55,canada,retail,1
280,vaccinated,0,female,1,45_to_55,canada,admin,0
281,no_vaccine_access,0,female,1,35_to_45,canada,health_care,1
282,vaccinated,0,female,1,45_to_55,canada,health_care,1
283,vaccinated,1,male,1,over_55,canada,health_care,1
284,no_vaccine_access,0,male,0,under_35,canada,retail,1
285,vaccine_refusal,0,female,0,under_35,canada,other,0
286,vaccinated,0,female,1,under_35,canada,public_service,0
287,vaccinated,0,female,1,over_55,canada,education,1
288,vaccinated,0,female,1,under_35,canada,public_service,1
289,vaccinated,0,female,1,over_55,canada,professional,0
290,vaccinated,1,female,1,over_55,canada,health_care,1
291,vaccinated,0,male,1,45_to_55,canada,education,1
292,vaccinated,0,female,1,45_to_55,canada,health_care,0
293,vaccinated,0,female,1,over_55,canada,other,1
294,vaccinated,0,female,1,over_55,china,manufacturing,1
295,vaccinated,0,female,1,over_55,china,manufacturing,1
296,vaccinated,1,female,1,over_55,china,manufacturing,1
297,vaccinated,1,female,1,over_55,china,manufacturing,1
298,vaccinated,0,male,1,over_55,china,education,1
299,vaccinated,0,female,1,35_to_45,china,education,1
300,vaccinated,0,male,1,over_55,china,education,1
301,vaccinated,0,male,1,45_to_55,china,education,0
302,vaccinated,0,female,1,35_to_45,china,education,1
303,vaccinated,0,female,1,over_55,poland,health_care,1
304,no_vaccine_access,1,female,1,35_to_45,ireland,professional,0
305,vaccinated,0,female,0,45_to_55,ireland,health_care,1
306,vaccinated,0,female,1,45_to_55,united_kingdom,education,0
307,vaccinated,1,male,1,45_to_55,poland,other,1
308,vaccinated,0,male,1,35_to_45,ireland,health_care,1
309,no_vaccine_access,1,female,1,under_35,ireland,retail,0
310,vaccinated,0,female,1,45_to_55,ireland,other,0
311,vaccinated,0,female,1,45_to_55,ireland,other,0
312,vaccinated,0,female,0,45_to_55,ireland,other,0
313,vaccinated,0,female,0,45_to_55,ireland,other,0
314,vaccinated,0,female,1,under_35,ireland,health_care,1
315,vaccinated,0,male,1,45_to_55,ireland,health_care,1
316,vaccinated,0,male,1,35_to_45,ireland,construction,1
317,vaccinated,1,male,1,35_to_45,ireland,professional,1
318,vaccinated,0,male,1,35_to_45,ireland,health_care,1
319,vaccine_refusal,0,female,1,under_35,ireland,health_care,0
320,vaccinated,0,female,1,35_to_45,ireland,health_care,1
321,vaccinated,1,female,1,under_35,ireland,health_care,0
322,vaccinated,1,male,0,under_35,ireland,health_care,1
323,vaccinated,1,male,0,45_to_55,ireland,health_care,1
324,vaccinated,0,female,1,45_to_55,ireland,health_care,0
325,vaccinated,0,female,1,35_to_45,ireland,health_care,0
326,vaccinated,0,male,1,45_to_55,ireland,health_care,1
327,vaccinated,0,male,1,over_55,ireland,other,0
328,vaccinated,0,female,1,under_35,ireland,health_care,0
329,vaccinated,0,female,0,35_to_45,poland,retail,0
330,vaccinated,1,female,1,35_to_45,poland,health_care,1
331,vaccinated,0,male,0,under_35,poland,other,1
332,vaccine_refusal,1,female,0,over_55,argentina,other,1
333,vaccinated,0,female,1,under_35,ireland,professional,1
334,vaccinated,0,female,0,35_to_45,canada,education,1
335,vaccinated,0,female,0,over_55,canada,health_care,1
336,vaccinated,0,female,1,over_55,canada,education,1
337,vaccinated,0,female,1,35_to_45,poland,education,1
338,vaccine_refusal,0,male,1,35_to_45,united_kingdom,education,0
339,vaccinated,0,male,1,35_to_45,united_kingdom,education,1
340,vaccinated,0,female,0,under_35,canada,other,0
341,vaccinated,1,male,0,under_35,canada,retail,0
342,no_vaccine_access,1,male,0,45_to_55,canada,retail,1
343,vaccinated,0,female,1,45_to_55,canada,health_care,0
344,vaccinated,0,female,0,under_35,canada,other,1
345,vaccinated,0,female,1,over_55,canada,health_care,0
346,vaccinated,0,female,0,45_to_55,canada,retail,1
347,vaccinated,0,female,1,over_55,canada,retail,0
348,vaccinated,0,male,1,over_55,canada,health_care,1
349,vaccinated,0,female,1,45_to_55,canada,health_care,1
350,vaccinated,0,female,1,over_55,canada,health_care,1
351,vaccinated,1,female,0,45_to_55,canada,other,1
352,vaccinated,1,male,1,over_55,canada,admin,1
353,vaccinated,0,female,1,35_to_45,canada,admin,0
354,vaccinated,0,female,1,45_to_55,ireland,health_care,1
355,vaccine_refusal,1,male,1,35_to_45,ireland,construction,1
356,vaccinated,0,female,1,35_to_45,ireland,health_care,0
357,vaccinated,0,female,1,under_35,ireland,health_care,1
358,vaccinated,1,female,1,45_to_55,ireland,education,1
359,vaccinated,0,female,1,45_to_55,ireland,health_care,1
360,no_vaccine_access,0,female,1,under_35,ireland,health_care,0
361,vaccinated,1,female,1,35_to_45,ireland,health_care,1
362,vaccinated,1,male,1,over_55,ireland,other,1
363,vaccinated,0,female,1,45_to_55,canada,professional,1
364,vaccinated,0,female,1,over_55,canada,other,1
365,vaccinated,0,male,0,over_55,canada,retail,0
366,vaccinated,1,female,1,over_55,canada,health_care,0
367,no_vaccine_access,0,female,1,45_to_55,canada,other,0
368,vaccinated,1,male,1,35_to_45,canada,education,0
369,vaccinated,0,female,1,35_to_45,ireland,health_care,1
370,vaccine_refusal,0,female,1,35_to_45,canada,health_care,0
371,vaccinated,0,female,1,45_to_55,canada,retail,0
372,vaccinated,0,female,1,over_55,canada,education,0
373,vaccine_refusal,0,female,1,35_to_45,nigeria,construction,0
374,vaccinated,0,female,1,45_to_55,canada,education,0
375,vaccinated,0,female,1,under_35,canada,other,1
376,vaccine_refusal,0,male,1,35_to_45,canada,health_care,1
377,vaccinated,0,female,0,over_55,canada,health_care,1
378,vaccinated,0,female,1,over_55,canada,health_care,1
379,vaccinated,0,female,0,under_35,canada,health_care,0
380,vaccinated,0,female,1,over_55,canada,health_care,0
381,vaccinated,0,female,1,under_35,canada,transport,0
382,vaccinated,0,female,1,under_35,canada,public_service,1
383,vaccinated,1,female,1,45_to_55,canada,health_care,1
384,vaccinated,0,female,0,45_to_55,canada,other,0
385,vaccinated,0,female,0,over_55,canada,health_care,1
386,vaccinated,0,male,1,45_to_55,canada,other,0
387,no_vaccine_access,0,female,1,35_to_45,canada,admin,0
388,vaccine_refusal,0,female,1,over_55,canada,admin,0
389,vaccinated,1,female,1,over_55,canada,education,0
390,vaccinated,1,female,0,45_to_55,canada,education,1
391,vaccinated,0,female,0,over_55,canada,health_care,1
392,vaccinated,0,female,1,45_to_55,canada,professional,1
393,vaccinated,0,male,1,over_55,canada,retail,0
394,vaccinated,0,female,0,over_55,canada,health_care,1
395,vaccinated,0,female,1,over_55,canada,health_care,1
396,vaccinated,0,female,1,over_55,canada,other,0
397,vaccinated,0,female,1,over_55,canada,health_care,0
398,no_vaccine_access,0,female,0,45_to_55,canada,health_care,1
399,vaccinated,0,female,0,35_to_45,canada,education,0
400,vaccinated,0,female,0,over_55,canada,other,1
401,vaccinated,0,female,1,over_55,canada,retail,0
402,no_vaccine_access,0,female,0,45_to_55,canada,education,1
403,vaccinated,0,female,1,under_35,ireland,health_care,0
404,vaccinated,1,male,1,45_to_55,ireland,professional,1
405,vaccinated,1,male,1,over_55,ireland,other,1
406,vaccinated,1,male,1,over_55,ireland,other,1
407,vaccinated,0,female,1,45_to_55,ireland,health_care,1
408,vaccinated,0,female,1,45_to_55,ireland,health_care,1
409,vaccinated,0,male,1,45_to_55,ireland,health_care,0
410,vaccinated,1,female,1,35_to_45,ireland,health_care,0
411,vaccinated,0,female,0,over_55,ireland,professional,1
412,vaccinated,0,female,0,over_55,ireland,health_care,1
413,no_vaccine_access,1,male,0,under_35,ireland,health_care,1
414,vaccinated,0,female,1,under_35,ireland,health_care,0
415,vaccinated,1,female,1,45_to_55,ireland,health_care,1
416,vaccinated,0,male,1,45_to_55,ireland,health_care,1
417,no_vaccine_access,0,female,1,35_to_45,ireland,health_care,1
418,vaccine_refusal,1,female,1,35_to_45,ireland,other,1
419,vaccinated,1,female,1,35_to_45,ireland,health_care,1
420,vaccinated,1,male,1,over_55,ireland,construction,1
421,vaccinated,1,male,1,under_35,ireland,construction,1
422,vaccinated,1,male,1,45_to_55,ireland,transport,1
423,vaccinated,0,female,1,under_35,ireland,health_care,1
424,vaccinated,1,female,1,under_35,ireland,health_care,1
425,vaccinated,1,female,1,35_to_45,ireland,health_care,1
426,no_vaccine_access,1,female,1,under_35,ireland,health_care,0
427,vaccine_refusal,1,male,1,45_to_55,ireland,professional,1
428,vaccinated,0,female,1,under_35,ireland,health_care,1
429,vaccinated,1,male,1,45_to_55,ireland,other,1
430,vaccinated,0,female,1,under_35,ireland,health_care,0
431,vaccinated,0,female,1,under_35,ireland,health_care,0
432,vaccinated,0,male,1,35_to_45,ireland,health_care,0
433,vaccinated,1,male,1,45_to_55,ireland,construction,1
434,vaccinated,1,male,1,35_to_45,ireland,construction,1
435,vaccinated,0,female,1,under_35,ireland,health_care,0
436,no_vaccine_access,0,female,1,35_to_45,ireland,health_care,0
437,vaccinated,1,female,1,under_35,ireland,health_care,0
438,vaccinated,1,female,1,45_to_55,ireland,public_service,1
439,vaccinated,0,male,1,under_35,ireland,health_care,0
440,vaccinated,0,female,1,under_35,ireland,health_care,1
441,no_vaccine_access,0,male,1,under_35,ireland,education,1
442,vaccinated,0,female,1,under_35,ireland,health_care,1
443,vaccinated,1,female,1,35_to_45,ireland,health_care,1
444,vaccinated,0,female,1,35_to_45,ireland,education,0
445,vaccinated,0,female,1,35_to_45,ireland,health_care,0
446,vaccinated,0,female,1,35_to_45,ireland,health_care,1
447,no_vaccine_access,0,female,1,under_35,ireland,retail,0
448,vaccinated,0,male,1,45_to_55,ireland,professional,0
449,vaccine_refusal,0,female,1,35_to_45,poland,transport,0
450,vaccinated,0,female,1,35_to_45,united_kingdom,education,0
451,vaccinated,0,female,1,35_to_45,united_kingdom,education,1
452,vaccinated,1,female,1,45_to_55,united_kingdom,education,0
453,vaccinated,0,male,0,45_to_55,united_kingdom,other,1
454,no_vaccine_access,0,female,1,45_to_55,united_kingdom,education,0
455,vaccinated,0,female,1,45_to_55,united_kingdom,education,0
456,vaccinated,0,female,1,45_to_55,united_kingdom,education,1
457,vaccinated,1,male,1,35_to_45,united_kingdom,education,0
458,vaccinated,0,female,0,under_35,united_kingdom,health_care,0
459,vaccinated,0,female,1,45_to_55,united_kingdom,education,0
460,vaccinated,0,female,1,35_to_45,united_kingdom,education,0
461,vaccinated,0,female,1,45_to_55,ireland,other,1
462,vaccinated,1,male,1,35_to_45,united_kingdom,education,1
463,vaccine_refusal,0,female,1,35_to_45,poland,public_service,0
464,vaccinated,1,female,1,under_35,poland,health_care,0
465,vaccine_refusal,0,female,1,45_to_55,ireland,health_care,0
466,vaccinated,1,female,1,35_to_45,ireland,health_care,0
467,vaccinated,1,female,1,35_to_45,ireland,health_care,0
468,vaccinated,1,female,1,over_55,ireland,health_care,1
469,no_vaccine_access,1,female,0,under_35,ireland,other,1
470,vaccinated,1,female,1,35_to_45,poland,health_care,1
471,vaccinated,1,female,1,under_35,united_kingdom,health_care,0
472,vaccinated,0,female,1,45_to_55,united_kingdom,education,1
473,vaccinated,0,female,1,45_to_55,united_kingdom,education,0
474,vaccinated,0,female,1,45_to_55,united_kingdom,education,0
475,vaccinated,1,female,1,over_55,ireland,other,1
476,vaccinated,1,female,1,45_to_55,united_kingdom,education,0
477,vaccinated,0,female,1,35_to_45,united_kingdom,education,0
478,vaccinated,0,female,1,45_to_55,united_kingdom,education,1
479,vaccinated,0,female,1,35_to_45,united_kingdom,education,0
480,vaccinated,1,female,1,over_55,united_kingdom,education,1
481,vaccine_refusal,0,male,1,under_35,united_kingdom,education,0
482,vaccinated,0,male,0,over_55,united_kingdom,other,1
483,vaccinated,1,female,1,45_to_55,united_kingdom,education,1
484,vaccinated,0,female,1,45_to_55,united_kingdom,education,0
485,vaccinated,0,female,1,45_to_55,united_kingdom,education,0
486,vaccinated,1,male,1,45_to_55,ireland,transport,1
487,vaccine_refusal,0,female,1,under_35,ireland,health_care,0
